n 141548, BTC size 141548
40919.49444, 0
40919.53611, 0
40919.57778, 0
40919.61944, 0
40919.66111, 0
40919.70278, 0
40919.74444, 0
40919.78611, 0
40919.82778, 0
40919.86944, 0
40919.91111, 0
40919.95278, 0
40919.99444, 0
40920.03611, 0.0001
40920.04931, 0
40920.07778, 0
40920.11944, 0.0001
40920.15069, 0.0002
40920.16111, 0.0003
40920.16806, 0
40920.20278, 0
40920.24444, 0
40920.26528, 0
40920.28611, 0
40920.32778, 0
40920.36944, 0
40920.41111, 0
40920.45278, 0
40920.49444, 0
40920.53611, 0
40920.57778, 0
40920.61944, 0
40920.66111, 0
40920.70278, 0
40920.74444, 0
40920.78611, 0
40920.82778, 0
40920.86944, 0
40920.91111, 0
40920.95278, 0
40920.99444, 0
40921.03611, 0
40921.07778, 0
40921.11944, 0
40921.16111, 0
40921.20278, 0
40921.24444, 0
40921.28611, 0
40921.32778, 0
40921.36944, 0
40921.41111, 0
40921.45278, 0
40921.49444, 0
40921.53611, 0
40921.57778, 0
40921.61944, 0
40921.66111, 0
40921.70278, 0
40921.74444, 0
40921.78611, 0
40921.82778, 0
40921.86944, 0
40921.91111, 0
40921.95278, 0
40921.99444, 0
40922.03611, 0
40922.07778, 0
40922.11944, 0
40922.16111, 0
40922.20278, 0
40922.24444, 0
40922.28611, 0
40922.32778, 0
40922.36944, 0
40922.41111, 0
40922.45278, 0
40922.49444, 0
40922.53611, 0
40922.57778, 0
40922.61944, 0
40922.66111, 0
40922.70278, 0
40922.74444, 0
40922.78611, 0
40922.82778, 0
40922.86944, 0
40922.91111, 0
40922.95278, 0
40922.99444, 0
40923.03611, 0
40923.07778, 0
40923.11944, 0
40923.16111, 0
40923.20278, 0
40923.24444, 0
40923.28611, 0
40923.32778, 0
40923.36944, 0
40923.41111, 0
40923.45278, 0
40923.49444, 0
40923.53611, 0
40923.57778, 0
40923.61944, 0
40923.66111, 0
40923.70278, 0
40923.74444, 0
40923.78611, 0
40923.82778, 0
40923.86944, 0
40923.91111, 0.0003
40923.95278, 0
40923.99444, 0
40924.03611, 0.0002
40924.07778, 0.0003
40924.11944, 0
40924.16111, 0
40924.20278, 0.0002
40924.24444, 0.0001
40924.28611, 0
40924.32778, 0.0003
40924.36944, 0.0011
40924.41111, 0.0004
40924.43611, 0
40924.45278, 0
40924.49444, 0
40924.53611, 0
40924.56667, 0
40924.57778, 0
40924.60486, 0
40924.61944, 0
40924.66111, 0
40924.70278, 0
40924.74444, 0
40924.78611, 0
40924.82778, 0
40924.86944, 0
40924.91111, 0
40924.95278, 0
40924.99444, 0
40925.03611, 0
40925.07778, 0
40925.11944, 0
40925.16111, 0
40925.20278, 0
40925.24444, 0
40925.28611, 0
40925.32778, 0
40925.36944, 0
40925.41111, 0
40925.45278, 0
40925.49444, 0
40925.53611, 0
40925.57778, 0
40925.61944, 0
40925.66111, 0
40925.70278, 0
40925.74444, 0
40925.78611, 0
40925.82778, 0
40925.86944, 0
40925.91111, 0
40925.95278, 0
40925.99444, 0
40926.03611, 0
40926.07778, 0
40926.11944, 0
40926.16111, 0
40926.20278, 0
40926.24444, 0
40926.28611, 0
40926.32778, 0
40926.36944, 0
40926.41111, 0
40926.45278, 0
40926.49444, 0
40926.53611, 0
40926.57778, 0
40926.61944, 0
40926.66111, 0
40926.70278, 0
40926.74444, 0
40926.78611, 0
